id;nombre;precio;descripcion;telefono;foto1;foto2;foto3;foto4;foto5;foto6;foto7;foto8;foto9;foto10;foto11
1;Adorno 002;0;Adorno en forma de corazón en metal dorado, Sujetado con remaches;925033823;https://i.postimg.cc/FRZmWNdT/002.png;https://i.postimg.cc/0QfxWPMc/002a.png;https://i.postimg.cc/xCRYxnJx/002b.png;https://i.postimg.cc/bJT8CpDF/002c.png;https://i.postimg.cc/pTZxGRhg/002d.png;https://i.postimg.cc/RFR9s462/002e.jpg;https://i.postimg.cc/wvVHfgyC/002f.png;https://i.postimg.cc/XJ83H4BS/002g.jpg;https://i.postimg.cc/G2Qr7dTn/002h.png;;
3;Adorno 004;0;Adorno en metal dorado, Ideal para balerinas y sandalias;925033823;https://i.postimg.cc/brgxwDGR/004.png;https://i.postimg.cc/7h93ZGCt/004a.png;https://i.postimg.cc/nr24hjsd/004b.png;https://i.postimg.cc/90bdQR4L/004c.png;https://i.postimg.cc/2yGQSbqT/004d.jpg;https://i.postimg.cc/VvgqkrSH/004e.png;https://i.postimg.cc/sxmYgQBN/004f.jpg;https://i.postimg.cc/4yP6x7K0/004g.jpg;https://i.postimg.cc/XqLfYGZh/004h.jpg;;
4;Adorno 005;0;Adorno en metal dorado coarrugada;925033823;https://i.postimg.cc/1XdzBsbm/005.png;https://i.postimg.cc/L4Qh2353/005a.png;https://i.postimg.cc/dQNDwj3m/005b.png;https://i.postimg.cc/66bTtfqr/005c.png;https://i.postimg.cc/d3f06wgD/005d.png;https://i.postimg.cc/NGCLBkFD/005e.png;https://i.postimg.cc/8kXsNmsS/005g.png;https://i.postimg.cc/X7ZqJByX/005h.png;https://i.postimg.cc/4NKydHHS/005i.png;https://i.postimg.cc/v82DbtTC/005j.png;
5;Adorno 006;0;Adorno en metal dorado. Para este verano;925033823;https://i.postimg.cc/kXFJDNgC/006.png;https://i.postimg.cc/15cm4031/006a.png;https://i.postimg.cc/Qxk8Vgdr/006b.png;https://i.postimg.cc/65LWTVpJ/006c.jpg;https://i.postimg.cc/xTyfqG1C/006d.png;https://i.postimg.cc/TYqdhj3h/006e.png;https://i.postimg.cc/8PBpsdzc/006f.jpg;https://i.postimg.cc/x1f0mkXQ/006g.jpg;;;
6;Adorno 008;0;;925033823;https://i.postimg.cc/3RCS2w4y/08.png;https://i.postimg.cc/qRXb27hh/08a.png;https://i.postimg.cc/Qtk4cM9K/08b.png;https://i.postimg.cc/Twq7nPLb/08c.png;https://i.postimg.cc/1tcCDznw/08d.png;https://i.postimg.cc/C1HPbKBG/08e.png;https://i.postimg.cc/hjbyVGz9/08f.png;https://i.postimg.cc/26Fcn5bn/08g.jpg;https://i.postimg.cc/hvDCsqTX/08h.jpg;https://i.postimg.cc/d1mHG0kR/08i.jpg;https://i.postimg.cc/sX9652Q9/08j.jpg
